diagnostic_id,match_id,team_key_a,player_key_a,team_key_b,player_key_b,same_team,period,start_frame_provider,end_frame_provider,start_time_period_s,end_time_period_s,start_time_match_s,end_time_match_s,consecutive_frame_count,qualifying_same_team_exclusion
DUP-000001,metrica:sample-game-2,metrica:Away,metrica:Away:15,metrica:Home,metrica:Home:7,False,1,57999,58000,2319.96,2320,2319.96,2320,2,False
DUP-000002,metrica:sample-game-2,metrica:Away,metrica:Away:15,metrica:Home,metrica:Home:8,False,1,26518,26518,1060.72,1060.72,1060.72,1060.72,1,False
DUP-000003,metrica:sample-game-2,metrica:Away,metrica:Away:15,metrica:Home,metrica:Home:8,False,1,38254,38306,1530.1600000000001,1532.24,1530.1600000000001,1532.24,53,False
DUP-000004,metrica:sample-game-2,metrica:Away,metrica:Away:15,metrica:Home,metrica:Home:8,False,1,45286,45326,1811.4400000000001,1813.04,1811.4400000000001,1813.04,41,False
DUP-000005,metrica:sample-game-2,metrica:Away,metrica:Away:16,metrica:Away,metrica:Away:17,True,1,56158,56170,2246.3200000000002,2246.8000000000002,2246.3200000000002,2246.8000000000002,13,True
DUP-000006,metrica:sample-game-2,metrica:Away,metrica:Away:16,metrica:Away,metrica:Away:17,True,1,56220,56233,2248.8000000000002,2249.3200000000002,2248.8000000000002,2249.3200000000002,14,True
DUP-000007,metrica:sample-game-2,metrica:Away,metrica:Away:16,metrica:Home,metrica:Home:10,False,1,44655,44673,1786.2,1786.9200000000001,1786.2,1786.9200000000001,19,False
DUP-000008,metrica:sample-game-2,metrica:Away,metrica:Away:16,metrica:Home,metrica:Home:10,False,1,67800,67863,2712,2714.52,2712,2714.52,64,False
DUP-000009,metrica:sample-game-2,metrica:Away,metrica:Away:16,metrica:Home,metrica:Home:10,False,1,67940,67941,2717.5999999999999,2717.6399999999999,2717.5999999999999,2717.6399999999999,2,False
DUP-000010,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:10,False,1,5551,5567,222.03999999999999,222.68000000000001,222.03999999999999,222.68000000000001,17,False
DUP-000011,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:10,False,1,16404,16408,656.15999999999997,656.32000000000005,656.15999999999997,656.32000000000005,5,False
DUP-000012,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:10,False,1,25215,25218,1008.6,1008.72,1008.6,1008.72,4,False
DUP-000013,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:10,False,1,27436,27456,1097.4400000000001,1098.24,1097.4400000000001,1098.24,21,False
DUP-000014,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:10,False,1,61386,61437,2455.4400000000001,2457.48,2455.4400000000001,2457.48,52,False
DUP-000015,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:8,False,1,66689,66690,2667.5599999999999,2667.5999999999999,2667.5599999999999,2667.5999999999999,2,False
DUP-000016,metrica:sample-game-2,metrica:Away,metrica:Away:17,metrica:Home,metrica:Home:9,False,1,34663,34681,1386.52,1387.24,1386.52,1387.24,19,False
DUP-000017,metrica:sample-game-2,metrica:Away,metrica:Away:18,metrica:Home,metrica:Home:5,False,1,35080,35096,1403.2,1403.8399999999999,1403.2,1403.8399999999999,17,False
DUP-000018,metrica:sample-game-2,metrica:Away,metrica:Away:18,metrica:Home,metrica:Home:5,False,1,49783,49805,1991.3199999999999,1992.2,1991.3199999999999,1992.2,23,False
DUP-000019,metrica:sample-game-2,metrica:Away,metrica:Away:18,metrica:Home,metrica:Home:9,False,1,11664,11668,466.56,466.72000000000003,466.56,466.72000000000003,5,False
DUP-000020,metrica:sample-game-2,metrica:Away,metrica:Away:18,metrica:Home,metrica:Home:9,False,1,44579,44624,1783.1600000000001,1784.96,1783.1600000000001,1784.96,46,False
DUP-000021,metrica:sample-game-2,metrica:Away,metrica:Away:19,metrica:Home,metrica:Home:4,False,1,35856,35883,1434.24,1435.3199999999999,1434.24,1435.3199999999999,28,False
DUP-000022,metrica:sample-game-2,metrica:Away,metrica:Away:19,metrica:Home,metrica:Home:4,False,1,50178,50187,2007.1199999999999,2007.48,2007.1199999999999,2007.48,10,False
DUP-000023,metrica:sample-game-2,metrica:Away,metrica:Away:19,metrica:Home,metrica:Home:5,False,1,58239,58246,2329.5599999999999,2329.8400000000001,2329.5599999999999,2329.8400000000001,8,False
DUP-000024,metrica:sample-game-2,metrica:Away,metrica:Away:19,metrica:Home,metrica:Home:7,False,1,38148,38241,1525.9200000000001,1529.6400000000001,1525.9200000000001,1529.6400000000001,94,False
DUP-000025,metrica:sample-game-2,metrica:Away,metrica:Away:19,metrica:Home,metrica:Home:8,False,1,41268,41274,1650.72,1650.96,1650.72,1650.96,7,False
DUP-000026,metrica:sample-game-2,metrica:Away,metrica:Away:20,metrica:Home,metrica:Home:5,False,1,11891,11892,475.63999999999999,475.68000000000001,475.63999999999999,475.68000000000001,2,False
DUP-000027,metrica:sample-game-2,metrica:Away,metrica:Away:20,metrica:Home,metrica:Home:5,False,1,40451,40470,1618.04,1618.8,1618.04,1618.8,20,False
