episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
A000001,1.1199999999999999,3.024683068358527,3.0212021329387198,-0.4755000000000038,-2.983548571428571,0.9988491569724374,1.001152168993215,2.8468855243541076,2.688373596018175,2.345757575563898,2.744271175920737,0.0567951702263801,-9.983453547857597,10.334903422669145,0,Home,1,1,Home_1_1_0,13,41,0.52,1.64,34.1694,43.674845714285716,33.6939,40.691297142857145,False,True,False,False,False,False,False,True,True,False
A000004,1.5599999999999996,7.5966346219155,7.45358030086624,1.859100000000005,7.218005714285717,0.9811687242879151,1.0191926987132123,5.063138480271503,4.865378607301848,4.699278744186393,4.6427744257745,0.623291605247952,-39.64915060752148,39.64915060752148,0,Home,1,1,Home_1_1_0,186,225,7.44,9.0,27.7029,54.62848,29.562000000000005,61.84648571428572,False,False,False,False,False,False,False,True,False,False
A000005,3.039999999999999,12.44059925778529,10.939509099840901,10.826399999999992,1.5690514285714272,0.8793394010336751,1.1372173233958205,5.226279804204567,4.099451374940348,4.6427744257745,1.3246962859463232,2.2018363515892676,-157.13525281711202,157.13525281711202,0,Home,1,1,Home_1_1_0,225,301,9.0,12.04,29.562000000000005,61.84648571428572,40.3884,63.41553714285715,False,False,False,False,False,False,False,True,False,False
A000006,1.6800000000000015,3.265211743459515,3.0487356928151206,-3.008099999999999,-0.49610857142857157,0.9337022932500431,1.0710051878733071,2.1296424753240166,1.9291858109868405,1.3246962859463232,1.8956860262723365,0.4796983588089696,-78.03072055388898,81.6481892239774,0,Home,1,1,Home_1_1_0,301,343,12.04,13.72,40.3884,63.41553714285715,37.3803,62.919428571428575,False,False,False,False,False,False,False,True,False,False
A000007,2.5999999999999996,7.031641947943711,6.719536514650574,-6.0887999999999955,-2.8423028571428546,0.9556141459414886,1.0464474644363722,3.2987070820651696,2.6922232534070476,1.8956860262723365,2.443017956277212,0.7964300308579434,76.41636930905786,76.41636930905786,0,Home,1,1,Home_1_1_0,343,408,13.72,16.32,37.3803,62.919428571428575,31.291500000000003,60.07712571428572,False,False,False,False,False,False,False,True,False,False
A000008,3.0,9.187677140269024,8.563753241457842,5.339699999999997,-6.695182857142868,0.9320912250957795,1.0728563611327233,3.6437428195050128,3.0544071903026686,2.443017956277212,2.1540330955050226,1.180129617259093,26.763378712398893,131.63671477849175,0,Home,1,1,Home_1_1_0,408,483,16.32,19.32,31.291500000000003,60.07712571428572,36.6312,53.38194285714285,False,False,False,False,False,False,False,True,False,False
A000009,1.8399999999999999,4.304434054563009,4.170997933648491,-1.939949999999996,-3.6923999999999992,0.96900031009348,1.0319914138144388,3.180532772883682,2.335423073608091,2.1540330955050226,0.8906043006904394,0.26500990270318947,24.25743596452597,113.99901518533221,0,Home,1,1,Home_1_1_0,483,529,19.32,21.16,36.6312,53.38194285714285,34.691250000000004,49.689542857142854,False,False,False,False,False,False,False,True,False,False
A000010,1.6400000000000006,3.7039632702134733,3.5997103403876594,3.517799999999994,0.7635428571428591,0.9718536815242756,1.028961477443373,2.8687107840457324,2.2259449060958865,0.8906043006904394,2.8329164699590406,0.2856388170715473,72.39878254798226,72.91665526313136,0,Home,1,1,Home_1_1_0,529,570,21.16,22.8,34.691250000000004,49.689542857142854,38.20905,50.45308571428571,False,False,False,False,False,False,False,True,False,False
A000012,1.8399999999999999,4.484791429315505,4.259956948435333,3.7119,-2.0902228571428623,0.9498673495916647,1.0527785805353629,2.567676846690616,2.438520335775583,2.490670048564732,2.1834883728774717,0.580860566958208,-66.69217333214078,66.69217333214078,0,Home,1,1,Home_1_1_0,597,643,23.88,25.72,40.995000000000005,50.97309142857143,44.706900000000005,48.88286857142857,False,False,False,False,False,False,False,True,False,False
A000013,1.4800000000000004,4.582701493643801,4.3305311819164825,-2.163000000000004,-3.751657142857134,0.9449734371577381,1.0582308038284856,3.7076820836845394,3.072395413525592,2.1834883728774717,3.6873101613188766,0.6172653618810529,-69.92003479855501,69.92003479855501,0,Home,1,1,Home_1_1_0,643,680,25.72,27.2,44.706900000000005,48.88286857142857,42.5439,45.13121142857143,False,True,False,False,False,False,False,True,True,False
